Date,TempF,TempK,Humidity,HrsDaylight
2006-03-05,38.6,276.8166667,37.3,11.52
2006-03-06,38,276.4833333,43.4,11.56
2006-03-07,38.1,276.5388889,42.4,11.6
2006-03-08,39.2,277.15,47,11.64
2006-03-09,46.6,281.2611111,68.4,11.68
2006-03-10,60.3,288.8722222,57.6,11.72
2006-03-11,55,285.9277778,43.5,11.76
2006-03-12,51.9,284.2055556,77.4,11.8
2006-03-13,52.6,284.5944444,87.2,11.84
2006-03-14,51.9,284.2055556,56,11.88
2006-03-15,40,277.5944444,40.7,11.92
2006-03-16,41.5,278.4277778,40.5,11.96
2006-03-17,38.8,276.9277778,38.2,12
2006-03-18,36.1,275.4277778,37.4,12.04
2006-03-19,36.5,275.65,46.4,12.08
2006-03-20,35.6,275.15,45.6,12.15
2006-03-21,36,275.3722222,38.9,12.21
2006-03-22,38.8,276.9277778,47.4,12.27
2006-03-23,44.3,279.9833333,44.2,12.33
2006-03-24,44.8,280.2611111,57.8,12.39
2006-03-25,42.2,278.8166667,63.5,12.45
2006-03-26,45.2,280.4833333,55.9,12.51
2006-03-27,49.3,282.7611111,37.9,12.57
2006-03-28,48,282.0388889,44.2,12.63
2006-03-29,51.2,283.8166667,45.2,12.69
2006-03-30,55.4,286.15,41.4,12.75
2006-03-31,59,288.15,42.8,12.81
2006-04-01,61.9,289.7611111,58.3,12.87
2006-04-02,57.9,287.5388889,36,12.93
2006-04-03,52.1,284.3166667,59.2,12.99
2006-04-04,49.6,282.9277778,62.2,13.05
2006-04-05,41.9,278.65,60.1,13.11
2006-04-06,47.2,281.5944444,48.2,13.17
2006-04-07,54.3,285.5388889,65.8,13.23
2006-04-08,47.5,281.7611111,70.9,13.29
2006-04-09,47.8,281.9277778,38.8,13.35
2006-04-10,51.5,283.9833333,39.6,13.41
2006-04-11,55.2,286.0388889,47.5,13.47
2006-04-12,55.5,286.2055556,60,13.53
2006-04-13,64.8,291.3722222,51,13.59
2006-04-14,59,288.15,68.4,13.65
2006-04-15,61.3,289.4277778,70.3,13.71
2006-04-16,58.6,287.9277778,39.9,13.77
2006-04-17,55.2,286.0388889,44.2,13.83
2006-04-18,58.3,287.7611111,49,13.89
2006-04-19,62.8,290.2611111,43,13.95
2006-04-20,68.4,293.3722222,27.7,14
2006-04-21,54.2,285.4833333,57.1,14.02666
2006-04-22,46.4,281.15,71.7,14.05332
2006-04-23,52.5,284.5388889,93.4,14.07998
2006-04-24,53.5,285.0944444,78.3,14.10664
2006-04-25,60,288.7055556,50,14.1333
2006-04-26,50.5,283.4277778,45.4,14.15996
2006-04-27,61.6,289.5944444,35.7,14.18662
2006-04-28,55.2,286.0388889,39.1,14.21328
2006-04-29,53.5,285.0944444,40.6,14.23994
2006-04-30,57.8,287.4833333,37.6,14.2666
2006-05-01,60.7,289.0944444,29,14.29326
2006-05-02,56.9,286.9833333,48.6,14.31992
2006-05-03,58.9,288.0944444,68.4,14.34658
2006-05-04,66.2,292.15,58.9,14.37324
2006-05-05,72.4,295.5944444,39.2,14.3999
2006-05-06,65.8,291.9277778,38.5,14.42656
2006-05-07,56.4,286.7055556,43.2,14.45322
2006-05-08,57.2,287.15,47.2,14.47988
2006-05-09,59.3,288.3166667,41.6,14.50654
2006-05-10,59.9,288.65,68.6,14.5332
2006-05-11,59,288.15,81.4,14.55986
2006-05-12,62.4,290.0388889,84.5,14.58652
2006-05-13,58.3,287.7611111,83.7,14.61318
2006-05-14,55.8,286.3722222,74.3,14.63984
2006-05-15,55.9,286.4277778,85.3,14.6665
2006-05-16,57.9,287.5388889,79.7,14.69316
2006-05-17,64.8,291.3722222,54.7,14.71982
2006-05-18,66.1,292.0944444,61,14.74648
2006-05-19,57.9,287.5388889,71.4,14.77314
2006-05-20,61.4,289.4833333,51,14.7998
2006-05-21,61.6,289.5944444,43.7,14.8
2006-05-22,55.7,286.3166667,48.2,14.81
2006-05-23,57.3,287.2055556,44.9,14.82
2006-05-24,65.3,291.65,39.6,14.83
2006-05-25,69.7,294.0944444,43,14.84
2006-05-26,65.1,291.5388889,82.3,14.85
2006-05-27,70.1,294.3166667,75.3,14.86
2006-05-28,72.6,295.7055556,61.2,14.87
2006-05-29,76.1,297.65,63,14.88
2006-05-30,74,296.4833333,67.3,14.89
2006-05-31,68.2,293.2611111,77,14.9
2006-06-01,73,295.9277778,83,14.91
2006-06-02,72.7,295.7611111,82.2,14.92
2006-06-03,63.3,290.5388889,91.1,14.93
2006-06-04,63.6,290.7055556,69.2,14.94
2006-06-05,65.8,291.9277778,68.2,14.95
2006-06-06,65.3,291.65,76.7,14.96
2006-06-07,61.7,289.65,83.7,14.97
2006-06-08,62.8,290.2611111,79.4,14.98
2006-06-09,67.7,292.9833333,66.5,14.99
2006-06-10,62.8,290.2611111,56.1,15
2006-06-11,63.2,290.4833333,50.8,15.01
2006-06-12,67.4,292.8166667,58.5,15.02
2006-06-13,74.4,296.7055556,53.8,15.03
2006-06-14,72,295.3722222,65,15.04
2006-06-15,72.5,295.65,50.8,15.05
2006-06-16,77.5,298.4277778,36.7,15.06
2006-06-17,80,299.8166667,38.7,15.07
2006-06-18,83.9,301.9833333,48.1,15.08
2006-06-19,83.2,301.5944444,53.1,15.09
2006-06-20,79.8,299.7055556,55.8,15.1
2006-06-21,76.7,297.9833333,48,15.12
2006-06-22,81.2,300.4833333,58.6,15.1092
2006-06-23,80.8,300.2611111,59.6,15.0984
2006-06-24,73.7,296.3166667,87,15.0876
2006-06-25,73.2,296.0388889,83.5,15.0768
2006-06-26,74,296.4833333,82.9,15.066
2006-06-27,76.6,297.9277778,77.5,15.0552
2006-06-28,77.1,298.2055556,77.1,15.0444
2006-06-29,76.8,298.0388889,70.9,15.0336
2006-06-30,74.8,296.9277778,52,15.0228
2006-07-01,78.7,299.0944444,47.9,15.012
2006-07-02,81.8,300.8166667,54.9,15.0012
2006-07-03,83.3,301.65,55.2,14.9904
2006-07-04,85.1,302.65,53.6,14.9796
2006-07-05,76.6,297.9277778,72.2,14.9688
2006-07-06,71.7,295.2055556,65.7,14.958
2006-07-07,74.9,296.9833333,49.8,14.9472
2006-07-08,76.7,297.9833333,55.6,14.9364
2006-07-09,79.3,299.4277778,50.9,14.9256
2006-07-10,78.2,298.8166667,58.4,14.9148
2006-07-11,83.3,301.65,59.4,14.904
2006-07-12,80.2,299.9277778,75.8,14.8932
2006-07-13,79,299.2611111,68.5,14.8824
2006-07-14,78.5,298.9833333,65.4,14.8716
2006-07-15,78.3,298.8722222,64,14.8608
2006-07-16,84,302.0388889,51.4,14.85
2006-07-17,89.3,304.9833333,46.2,14.8392
2006-07-18,88.8,304.7055556,50.1,14.8284
2006-07-19,79.2,299.3722222,67.3,14.8176
2006-07-20,75.9,297.5388889,72.6,14.8068
2006-07-21,78.6,299.0388889,73.7,14.796
2006-07-22,78.7,299.0944444,77.8,14.7852
2006-07-23,74.7,296.8722222,67.7,14.7744
2006-07-24,78.3,298.8722222,56.2,14.7636
2006-07-25,79.3,299.4277778,61,14.7528
2006-07-26,80.5,300.0944444,64,14.742
2006-07-27,82.5,301.2055556,68.9,14.7312
2006-07-28,82.6,301.2611111,65.2,14.7204
2006-07-29,84.6,302.3722222,54.3,14.7096
2006-07-30,84.9,302.5388889,53.5,14.6988
2006-07-31,83.6,301.8166667,55.4,14.688
2006-08-01,90.9,305.8722222,56.1,14.6772
2006-08-02,93,307.0388889,51.7,14.6664
2006-08-03,90.4,305.5944444,51,14.6556
2006-08-04,84.5,302.3166667,55.5,14.6448
2006-08-05,82.6,301.2611111,41.3,14.634
2006-08-06,77.7,298.5388889,61.5,14.6
2006-08-07,82.9,301.4277778,61.7,14.55
2006-08-08,80.5,300.0944444,50.5,14.5
2006-08-09,76.9,298.0944444,45.2,14.45
2006-08-10,76.7,297.9833333,66.5,14.4
2006-08-11,73.3,296.0944444,46.2,14.35
2006-08-12,72.3,295.5388889,37.8,14.3
2006-08-13,74.5,296.7611111,38.1,14.25
2006-08-14,79.8,299.7055556,46.5,14.2
2006-08-15,77.6,298.4833333,63.6,14.15
2006-08-16,78.8,299.15,50,14.1
2006-08-17,77.2,298.2611111,55.2,14.05
2006-08-18,76,297.5944444,62.2,14
2006-08-19,76.2,297.7055556,70.9,13.95
2006-08-20,82.3,301.0944444,58.1,13.9
2006-08-21,78,298.7055556,46.5,13.85
2006-08-22,78.5,298.9833333,47,13.8
2006-08-23,79.5,299.5388889,44,13.75
2006-08-24,74.2,296.5944444,62.5,13.7
2006-08-25,72.3,295.5388889,78.5,13.65
2006-08-26,68.2,293.2611111,77.8,13.6
2006-08-27,69.3,293.8722222,78.6,13.55
2006-08-28,73.6,296.2611111,85.6,13.5
2006-08-29,68.9,293.65,85.2,13.45
2006-08-30,68.8,293.5944444,76.8,13.4
2006-08-31,68,293.15,53.6,13.35
2006-09-01,66.5,292.3166667,68,13.3
2006-09-02,65.3,291.65,81.9,13.25
2006-09-03,71,294.8166667,68.7,13.2
2006-09-04,70.1,294.3166667,57.8,13.15
2006-09-05,66.8,292.4833333,74.8,13.1
2006-09-06,69,293.7055556,69,13.05
2006-09-07,72.7,295.7611111,60.8,13
2006-09-08,75.2,297.15,56.8,12.95
2006-09-09,76.9,298.0944444,56.3,12.9
2006-09-10,69.4,293.9277778,60.6,12.85
2006-09-11,64.2,291.0388889,50.9,12.8
2006-09-12,62.5,290.0944444,43.5,12.75
2006-09-13,65.7,291.8722222,60.1,12.7
2006-09-14,67.8,293.0388889,83,12.65
2006-09-15,67.7,292.9833333,87.3,12.6
2006-09-16,71.2,294.9277778,70.8,12.55
2006-09-17,73.5,296.2055556,66,12.5
2006-09-18,74.7,296.8722222,65.5,12.45
2006-09-19,73.6,296.2611111,72.7,12.4
2006-09-20,67,292.5944444,55.5,12.35
2006-09-21,62.5,290.0944444,48.1,12.3
2006-09-22,65.1,291.5388889,53.3,12.25
2006-09-23,70.9,294.7611111,71.2,12.17
2006-09-24,76.1,297.65,66.9,12.1366
2006-09-25,69.1,293.7611111,48.1,12.1032
2006-09-26,67,292.5944444,44.3,12.0698
2006-09-27,66.3,292.2055556,66.5,12.0364
2006-09-28,69.5,293.9833333,67,12.003
2006-09-29,62.9,290.3166667,65.3,11.9696
2006-09-30,61,289.2611111,52.5,11.9362
2006-10-01,65.7,291.8722222,66.6,11.9028
2006-10-02,63.5,290.65,55.8,11.8694
2006-10-03,70.3,294.4277778,55,11.836
2006-10-04,73.8,296.3722222,63.1,11.8026
2006-10-05,62,289.8166667,59.2,11.7692
2006-10-06,57.5,287.3166667,56.8,11.7358
2006-10-07,58.1,287.65,61.7,11.7024
2006-10-08,61.8,289.7055556,61.6,11.669
2006-10-09,68.8,293.5944444,58.1,11.6356
2006-10-10,67.8,293.0388889,61.2,11.6022
2006-10-11,62.3,289.9833333,79.8,11.5688
2006-10-12,64.3,291.0944444,67.9,11.5354
2006-10-13,51.3,283.8722222,33.6,11.502
2006-10-14,52.8,284.7055556,41.5,11.4686
2006-10-15,53,284.8166667,39.6,11.4352
2006-10-16,55.4,286.15,51.8,11.4018
2006-10-17,58.7,287.9833333,76.6,11.3684
2006-10-18,67,292.5944444,75.1,11.335
2006-10-19,65.5,291.7611111,70.6,11.3016
2006-10-20,61.8,289.7055556,79.1,11.2682
2006-10-21,52.9,284.7611111,49.4,11.2348
2006-10-22,55.7,286.3166667,60.9,11.2014
2006-10-23,52.5,284.5388889,50.8,11.168
2006-10-24,47.9,281.9833333,51.4,11.1346
2006-10-25,49.7,282.9833333,50.9,11.1012
2006-10-26,47.9,281.9833333,50.8,11.0678
2006-10-27,47.6,281.8166667,62.3,11.0344
2006-10-28,59,288.15,76,11.001
2006-10-29,50.4,283.3722222,35.2,10.9676
2006-10-30,55.3,286.0944444,32.9,10.9342
2006-10-31,61.2,289.3722222,53.6,10.9008
2006-11-01,64,290.9277778,59.8,10.8674
2006-11-02,51.1,283.7611111,58.6,10.834
2006-11-03,44,279.8166667,43,10.8006
2006-11-04,43.1,279.3166667,44.4,10.7672
2006-11-05,45.6,280.7055556,44.6,10.7338
2006-11-06,50.6,283.4833333,47.2,10.7004
2006-11-07,57.4,287.2611111,84.1,10.667
2006-11-08,58.8,288.0388889,90.5,10.6336
2006-11-09,63.4,290.5944444,63.9,10.6002
2006-11-10,58.3,287.7611111,50.5,10.5668
2006-11-11,58.5,287.8722222,77.3,10.5334
2006-11-12,58.6,287.9277778,87.1,10.5
2006-11-13,59.1,288.2055556,84.6,10.4666
2006-11-14,59.4,288.3722222,76.7,10.4332
2006-11-15,60.7,289.0944444,82.2,10.3998
2006-11-16,65.2,291.5944444,84.4,10.3664
2006-11-17,60.2,288.8166667,59.7,10.333
2006-11-18,49.6,282.9277778,54.1,10.2996
2006-11-19,46.8,281.3722222,57.9,10.2662
2006-11-20,42.5,278.9833333,54.9,10.2328
2006-11-21,42.1,278.7611111,52.8,10.1994
2006-11-22,44.8,280.2611111,55.5,10.166
2006-11-23,44.6,280.15,79.8,10.1326
2006-11-24,51.7,284.0944444,36,10.0992
2006-11-25,46.8,281.3722222,64.5,10.0658
2006-11-26,52.1,284.3166667,67.8,10.0324
2006-11-27,56.3,286.65,61.6,9.999
2006-11-28,53.9,285.3166667,74.1,9.9656
2006-11-29,54.3,285.5388889,82.5,9.9322
2006-11-30,62,289.8166667,77.2,9.8988
2006-12-01,63.7,290.7611111,78.9,9.8654
2006-12-02,46.5,281.2055556,43.1,9.832
2006-12-03,42.5,278.9833333,48,9.7986
2006-12-04,39.3,277.2055556,46.3,9.7652
2006-12-05,35,274.8166667,41.2,9.7318
2006-12-06,43.1,279.3166667,49.8,9.6984
2006-12-07,45.5,280.65,50.5,9.665
2006-12-08,27.4,270.5944444,45.2,9.6316
2006-12-09,34.2,274.3722222,37.6,9.5982
2006-12-10,46.8,281.3722222,30.7,9.5648
2006-12-11,51,283.7055556,35.9,9.5314
2006-12-12,46.2,281.0388889,65.7,9.498
2006-12-13,53.9,285.3166667,80.6,9.4646
2006-12-14,50.3,283.3166667,80.8,9.4312
2006-12-15,48.8,282.4833333,78.9,9.3978
2006-12-16,47.6,281.8166667,49.3,9.3644
2006-12-17,50.5,283.4277778,52,9.331
2006-12-18,54,285.3722222,54.4,9.2976
2006-12-19,42.9,279.2055556,45.7,9.2642
2006-12-20,41.4,278.3722222,47.1,9.2308
2006-12-21,47.3,281.65,44.8,9.23
2006-12-22,44.4,280.0388889,65.4,9.2
2006-12-23,56.2,286.5944444,78.2,9.18
2006-12-24,50.2,283.2611111,47.3,9.16
2006-12-25,44.3,279.9833333,66,9.14
2006-12-26,48.5,282.3166667,81.9,9.12
2006-12-27,42.8,279.15,51.7,9.09
2006-12-28,44.3,279.9833333,48.7,9.06
2006-12-29,44.8,280.2611111,54.4,9.04
2006-12-30,43,279.2611111,59.1,9.02
2006-12-31,40.7,277.9833333,55,9
